ID;Nome;Descricao;Preco;Categoria;Quantidade Disponivel;Detalhe 1: Nome;Detalhe 1: Valor;Detalhe 2: Nome;Detalhe 2: Valor;Detalhe 3: Nome;Detalhe 3: Valor
001;Pingente Estrela do Mar Rústico;Delicado pingente em formato de estrela do mar, modelado em cera e fundido em prata, com um charmoso acabamento rústico.;210.00;Pingentes;1;Material;Prata;Técnica;Cera e Fundição;Design;Estrela do Mar
004;Pingente de Prata Concha 1;Pingente em formato de concha, modelado em cera e fundido em prata, ideal para trazer a brisa do mar para o seu estilo.;210.00;Pingentes;1;Material;Prata;Técnica;Cera e Fundição;Design;Concha
005;Anel Bomber Textura;Anel robusto no estilo bomber, com uma rica textura que lhe confere um visual arrojado e contemporâneo.;260.00;Anéis;1;Estilo;Bomber;Acabamento;Texturizado;Visual;Arrojado
007;Pingente de Prata com Fóssil Amonite;Pingente único modelado via fundição de cera em prata, com acabamento rústico que realça o brilho de um fóssil amonite. Peça com 13.6g.;210.00;Pingentes;1;Material;Prata;Destaque;Fóssil Amonite;Peso;13.6g
012;Pingente de Prata Concha Shell;Elegante pingente em formato de concha shell, modelado em cera e fundido em prata, para um toque de sofisticação praiana.;210.00;Pingentes;1;Material;Prata;Técnica;Cera e Fundição;Design;Concha Shell
013;Anel de Prata Artístico;Anel com design artístico, modelado em cera e posteriormente fundido em prata, resultando em uma peça verdadeiramente única.;190.00;Anéis;1;Material;Prata;Técnica;Cera e Fundição;Estilo;Artístico
014;Bracelete em Prata Texturizada;Bracelete de presença em prata, com uma rica e interessante textura que adiciona personalidade a qualquer look.;600.00;Braceletes;1;Material;Prata;Acabamento;Texturizado;Estilo;Personalidade
016;Colar em Filigrana de Prata e Rosa;Delicado colar em prata e rosa, trabalhado na requintada técnica de filigrana e finalizado com um sofisticado banho de ródio para maior brilho e durabilidade.;1100.00;Colar,Filigrana;1;Material;Prata e Rosa;Técnica;Filigrana;Banho;Ródio
017;Colar Arraia Manta em Filigrana com Labradorita;Magnífico colar Arraia Manta em filigrana de prata 1000, destacando uma deslumbrante labradorita com cravação inglesa e um elegante banho de ródio.;1800.00;Colar,Filigrana;1;Material;Prata 1000;Pedra;Labradorita;Técnica;Filigrana
018;Anel de Prata com Rutilado Navete;Anel elegante em prata, destacando uma pedra rutilado em um sofisticado corte navete.;450.00;Anéis;1;Material;Prata;Pedra;Rutilado;Corte da Pedra;Navete
